,date,threshold,density,max_clique,clique_size,valid_clique,computation_time
0,2020-01-29,0.1,0.8827586206896552,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COST', 'CSCO', 'CVS', 'DUK', 'EMR', 'EXC', 'F', 'FDX', 'GD', 'GE', 'GILD', 'GM']",17,True,0.011053
1,2020-02-05,0.1,0.8827586206896552,"['CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'GD', 'GOOG', 'GOOGL', 'GS']",16,True,0.011104
2,2020-02-12,0.1,0.9908045977011494,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.010941
3,2020-02-20,0.1,0.9885057471264368,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.010995
4,2020-02-27,0.1,0.9494252873563218,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",27,True,0.01098
5,2020-03-05,0.1,0.9908045977011494,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.01098
6,2020-03-12,0.1,0.9425287356321839,"['BMY', 'C', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.010983
7,2020-01-29,0.2,0.7793103448275862,"['BMY', 'C', 'CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'EXC', 'F', 'FDX', 'GD', 'GE', 'GILD', 'GOOG', 'GOOGL']",15,True,0.011175
8,2020-02-05,0.2,0.7471264367816092,"['C', 'CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'GOOG', 'GOOGL', 'GS']",15,True,0.011205
9,2020-02-12,0.2,0.9816091954022989,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.010945
10,2020-02-20,0.2,0.9885057471264368,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.010944
11,2020-02-27,0.2,0.9011494252873563,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",26,True,0.011085
12,2020-03-05,0.2,0.9816091954022989,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.010985
13,2020-03-12,0.2,0.8919540229885058,"['BMY', 'C', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.011082
14,2020-01-29,0.30000000000000004,0.6597701149425287,"['BMY', 'C', 'CMCSA', 'COVID_Canada', 'CSCO', 'CVS', 'DUK', 'EXC', 'F', 'FDX', 'GD', 'GILD', 'GOOG', 'GOOGL']",14,True,0.011266
15,2020-02-05,0.30000000000000004,0.5908045977011495,"['C', 'CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'DIS', 'DUK', 'EMR', 'EXC', 'FB', 'FDX', 'GOOG', 'GOOGL', 'GS']",14,False,0.011244
16,2020-02-12,0.30000000000000004,0.9586206896551724,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.010963
17,2020-02-20,0.30000000000000004,0.9816091954022989,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.010951
18,2020-02-27,0.30000000000000004,0.864367816091954,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.011067
19,2020-03-05,0.30000000000000004,0.9747126436781609,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.01095
20,2020-03-12,0.30000000000000004,0.8367816091954023,"['BMY', 'C', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",24,True,0.011097
21,2020-01-29,0.4,0.5632183908045977,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COST', 'CSCO', 'CVS', 'CVX', 'FDX', 'GD', 'GE']",12,False,0.011347
22,2020-02-05,0.4,0.4781609195402299,"['CMCSA', 'COST', 'COVID_Canada', 'DIS', 'DUK', 'EMR', 'FB', 'FDX', 'GOOG', 'GOOGL', 'GS']",11,False,0.011344
23,2020-02-12,0.4,0.9448275862068966,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.010982
24,2020-02-20,0.4,0.9747126436781609,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.010955
25,2020-02-27,0.4,0.8183908045977012,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.011152
26,2020-03-05,0.4,0.9448275862068966,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.011018
27,2020-03-12,0.4,0.7770114942528735,"['BMY', 'C', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",23,True,0.011125
28,2020-01-29,0.5,0.4436781609195402,"['BMY', 'C', 'CMCSA', 'COVID_Canada', 'CSCO', 'CVS', 'EXC', 'F', 'FDX', 'GD', 'GILD', 'GOOG', 'GOOGL']",13,False,0.011353
29,2020-02-05,0.5,0.36551724137931035,"['C', 'CMCSA', 'COST', 'COVID_Canada', 'DHR', 'DIS', 'EMR', 'EXC', 'FB', 'FDX', 'GD', 'GOOG', 'GOOGL', 'GS']",14,False,0.011344
30,2020-02-12,0.5,0.9402298850574713,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.011017
31,2020-02-20,0.5,0.9540229885057471,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS']",27,True,0.01098
32,2020-02-27,0.5,0.7770114942528735,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.011162
33,2020-03-05,0.5,0.9218390804597701,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",27,True,0.011035
34,2020-03-12,0.5,0.7080459770114943,"['BMY', 'C', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",23,False,0.011113
35,2020-01-29,0.6,0.3333333333333333,"['BMY', 'C', 'CMCSA', 'COF', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'F', 'FDX', 'GD', 'GE']",12,False,0.011414
36,2020-02-05,0.6,0.24367816091954023,"['CMCSA', 'COST', 'DUK', 'EMR', 'EXC', 'FDX', 'GOOG', 'GOOGL']",8,False,0.011476
37,2020-02-12,0.6,0.9356321839080459,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.010965
38,2020-02-20,0.6,0.8988505747126436,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS']",26,True,0.011046
39,2020-02-27,0.6,0.7402298850574712,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.011101
40,2020-03-05,0.6,0.8988505747126436,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",27,True,0.011057
41,2020-03-12,0.6,0.6505747126436782,"['BMY', 'C', 'CMCSA', 'COF', 'COVID_Canada', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",21,True,0.011227
42,2020-01-29,0.7000000000000001,0.21149425287356322,"['C', 'CMCSA', 'COST', 'CSCO', 'CVS', 'DIS', 'F', 'FDX', 'GD', 'GE', 'GOOGL']",11,False,0.011477
43,2020-02-05,0.7000000000000001,0.1632183908045977,"['BMY', 'C', 'COF', 'COP', 'CSCO', 'CVS', 'DHR', 'DIS', 'DUK', 'FOX', 'GM']",11,False,0.011424
44,2020-02-12,0.7000000000000001,0.9310344827586207,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.011
45,2020-02-20,0.7000000000000001,0.8367816091954023,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.011122
46,2020-02-27,0.7000000000000001,0.7057471264367816,"['C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DIS', 'EMR', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",22,True,0.011217
47,2020-03-05,0.7000000000000001,0.8298850574712644,"['BMY', 'C', 'CMCSA', 'COF', 'COP', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",24,True,0.011098
48,2020-03-12,0.7000000000000001,0.5586206896551724,"['BMY', 'C', 'COF', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS']",18,True,0.011356
49,2020-01-29,0.8,0.10804597701149425,"['BMY', 'COF', 'CSCO', 'CVS', 'EMR', 'F', 'GD', 'GE', 'GILD']",9,False,0.011441
50,2020-02-05,0.8,0.0735632183908046,"['COVID_Canada', 'CSCO', 'CVX', 'DUK', 'EMR', 'FB', 'FDX', 'GOOG']",8,False,0.011431
51,2020-02-12,0.8,0.8896551724137931,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'F', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",24,True,0.011085
52,2020-02-20,0.8,0.7517241379310344,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS']",24,True,0.01106
53,2020-02-27,0.8,0.6367816091954023,"['C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'DIS', 'EMR', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",20,False,0.011305
54,2020-03-05,0.8,0.7425287356321839,"['BMY', 'C', 'COF', 'COP', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",22,True,0.011198
55,2020-03-12,0.8,0.36551724137931035,"['BMY', 'C', 'COF', 'COVID_Canada', 'CVX', 'DUK', 'EMR', 'FOX', 'GD', 'GE']",10,False,0.011355
56,2020-01-29,0.9,0.027586206896551724,"['DUK', 'GE', 'GILD']",3,False,0.011467
57,2020-02-05,0.9,0.013793103448275862,"['BMY', 'CAT', 'COF', 'COVID_Canada', 'DUK', 'EMR', 'EXC', 'FOXA', 'GE', 'GM', 'GOOG']",11,False,0.011379
58,2020-02-12,0.9,0.6758620689655173,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'F', 'FOX', 'FOXA', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",20,False,0.011218
59,2020-02-20,0.9,0.6229885057471264,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'CSCO', 'CVX', 'DIS', 'EMR', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS']",20,True,0.011291
60,2020-02-27,0.9,0.4298850574712644,"['C', 'CAT', 'CMCSA', 'COF', 'COP', 'DIS', 'EMR', 'F', 'FB', 'FDX', 'FOX', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",17,False,0.011309
61,2020-03-05,0.9,0.496551724137931,"['BMY', 'C', 'COF', 'COP', 'CVX', 'DHR', 'DIS', 'F', 'FB', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS']",15,True,0.011284
62,2020-03-12,0.9,0.13793103448275862,"['CAT', 'COP', 'COST', 'COVID_Canada', 'CVS', 'DIS', 'DUK', 'EMR', 'EXC']",9,False,0.01145
